content	label
سبحان الله بحمده عدد خلقه رضى نفسه زنه عرشه مداد كلماته	Positive
سبحان الله مالك السموات الارض	Positive
قصه جميله جدا تعكس معنى الايمان التمسك بالعقيده الصحيحه حسن تعاليمها	Positive
سنبقى نذكر دوله الشهيد وصفي التل الذي كان رئيسا للوزراء حبيبا للفقراء	Negative
اول واحد ذكرنى بصاحب اسمه قرده	Negative
الحمد لله الذي رزقني بالاسلام	Positive
نحن في زمن يهان فيه المرء ويكرم فيه الكلب	Negative
ثبتك الله يا استاذي ونصرك	Positive
مع مين بتحكي بتول انشالله مع حالك	Negative
اللهم ارزقنا الصحبه الصالحه	Positive
دعوه المؤمن لاخيه بظهر الغيب اسرع من البرق	Positive
بوركت جهودك و سلمت اناملك	Positive
شو هالافكار الجهنميه	Negative
لا تفهمي غلط حبيبتي	Negative
الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه	Positive
احب الله تعالى و رسوله الكريم	Positive
الله لا يشبعكو يا ظلمه انشاء الله كلو بتلقو بالاخره يا ظلمه خافوالله طبعا اذا بتعرفوالله	Negative
اهلا بك في دين الحق والسلام	Positive
عندك حق انت امل جميل مشرق	Positive
روح موت وانتحر	Negative
هذا اللي بالنص من لجنه الحكم مفكر نفسو وديع الصافي هو شقفه علاك	Negative
خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفه	Positive
مطلوب نصيحه منك لكي نستحضر الخشوع	Positive
امين يا رب انت شاب زي الفل ما شاء الله عليك	Positive
عاهاتك يا وطنعاهاتك يا وطن	Negative
اللهم كن مع اخواننا في سوريا	Positive
الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع	Positive
حلمي ان اكون مثل سوشي	Positive
طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت الله يوفق من يشاء	Positive
يا مصلح القلوب اصلح احوالنا يا مسهل يا رب	Positive
كل واحد حرامي ما بهمو مصلحه المسكين المواطن الي بشتغل 14ساعه 6دنانير	Negative
نيله تنيلكم من وين جايبين هالحثانه	Negative
ن مقابله جلاله الملك عبدالله مع قناه سي بي اس الاميركيه . يؤرقني تامين فرص الحياه الكريمه لشباب الاردن و لن نسمح للارهاب بالعبث في الاردن	Negative
كلمات رائعه حلوه لا احلى ان يكونو في النهايه رائعون	Positive
قهروني حرام	Negative
والشرهه على الاغبياء اللي معطينك لايك	Negative
بدي اروح عمره الله ييسر	Positive
مش عارف ليه بيتحوله هما الى دواره عليك وكان نفسهم تكون معاهم فى الاول	Positive
صباح الورد الجوري الحمر والخمري	Positive
الله يهدي النفوس ربي ابعث لنا في هذا اليوم فرح يغير ايامنا وينعش قلوبنا من جديد	Positive
اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون	Positive
اننا نعيش في زمن بلا رحمه	Negative
اللهم لا تكلنا الى انفسنا طرفه عين	Positive
بدعى على طول بان الله يرزقنى الخشوع	Positive
اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث	Positive
افشو السلام بينكم	Positive
الله يتقبل صلاتنا	Positive
لكل مجتهد نصيب .. من لديه هدف ويثابر عليه حتما بعد امر الله سوف يصل	Positive
اللهم اصلح حال المسلمين اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال	Positive
افعال لا تضاهيها اقوال	Positive
صراع متصاعد للهيمنه على سوق الالمنيوم العالميه	Negative
اقسم بالله انه منتهيي	Negative
يارب اجعلنى من الصالحين	Positive
يعني بكل وضوح بدكوا تذلوا الشعب الاردني تخلوه كل شهور يصف طابور عشان يوخدلوا اكمن ليره	Negative
سبحانك ربنا الواحد الاحد لا شريك لك تحيي تميت انت على كل شيء قدير صلى الله سلم على نبينا محمد على اله صحبه اجمعين	Positive
لبنان وزبالتوا	Negative
جهنم وباس المصير	Negative
بارك الله لكما وبارك عليكما وجمع بينكما على خير	Positive
وجه الفطيره قبل تعيب الناس انظر الى حالك	Negative
صوتك وحش	Negative
كلامك يشعرني بالتفاؤل يمدني بالقوه الاستمرار	Positive
الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار .. التردي ليس مرتبط بالربيع العربي بل قبله بمده عام	Negative
لما اجد فيها الا الجراح	Negative
الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه ا?هم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟	Negative
اللهم معنا علي طاعتك ورضاك وقوي عذامئنا	Positive
يا ارحم الراحمين يا الله	Positive
فانا اناشد الحكومه الاردنيه بالافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم	Negative
شاهد تحرش جماعي بسيده تحمل طفلها على كورنيش	Negative
مش فاهم عليك لانك صاير غير مفهوم	Negative
صباحات النقاء الابتسامات الصافيه من القلب	Positive
لا يغير الله ما بقوم حتى يغيروا ما بانفسهم	Positive
قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم	Positive
بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله	Negative
مقاسك غير مناسب يا شريف مع نفسك	Negative
مش طبيعي سماكه الدم شو ها عدوله خرب المفطع لشو المبالغه والاوفر يعني	Negative
فالاول يصحح مساري الثاني يزيد من اصراري	Positive
حرام والله حزنت عليه شو هالموقف الشنع	Negative
صباح الخيرات والعبادات	Positive
طول عمر بخاف ان امثالك يصبحوا مطربين	Negative
اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك	Positive
مشتاقه لك شوق ماحسه الناس شوق يغطي معاليق الروح بضمي ترف دلع لهفه مشاعر واحساس ماابي غيرك ولاغيرك تراه همي	Positive
نهارك طيب مبروك	Positive
يلعن ام السخافه	Negative
ايه الهبل دا	Negative
ان المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه	Positive
الى جهنم وبئس المصير	Negative
الف مبروك تخرج ابناء الظفير من الكليه العسكريه الملكيه من الاردن	Positive
القتل نهايه الزوجه اللعوب	Negative
خرى عليك	Negative
والله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب الله حرام	Negative
بارك الله فيك نتمنى المزيد من النصائح	Positive
الحكم سيئ	Negative
ثكلتك امك	Negative
ربنايحفظك ياشيخ	Positive
الله لا يعطي العافيه ولا الصحه للاخوان المفلسين	Negative
التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع	Negative
مسوي انه مندهش	Negative
ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا	Positive
بالله عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى	Negative
والله انكو ما بتخافوالله	Negative
من بغضه رب العالمين لن يحبه احد	Positive
الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم	Negative
الخشوع امر مهم جدا في الصلاه	Positive
صباحكم نقاء يشبه سيرتك	Positive
الله يهدي الجميع للاسلام	Positive
ينور عليك ويكثر من امثالك	Positive
استغفر الله مجانين يروحون سوبر ستار	Negative
وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه	Negative
يلعن ابو هل الاشكال بس	Negative
مثال جميل جدا عبره لكل من يحمل رساله الاسلام	Positive
ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر	Positive
