content	label
 اللهم  ارزقنا  فعل  الخيرات  وترك  المنكرات	Positive
 كلام  سليم  والصراحه  راحه	Positive
 حتي  في  التخلف  مش  فالحين  منيح	Negative
 شو  هل  الاهبل	Negative
 اشتقت  لمكه  و  لراءحه مكه  و  لالصلاه  في  مكه  اللهم  ارزقني  انا  و  كل  من  اشتاق  الي  مكه  بزياره عاجلا  غير  اجل	Positive
 هما  بس  الي  بيسعوا  لالغناء  ده  طبعا  غير  الاشتغالات  والافلام  الهندي  الي  نحن  شفنها	Negative
 ابو  الشباب  راعي  العود  ليش  ماوزنه  في  البيت  غباء	Negative
 صباح  الوجه  الصبوح	Positive
 مين  اللي  ضاحك  عليهم وقايل  ان  اصواتهم حلواه	Negative
 لجنه فاشله تتمسخر  علي  المتقدمين	Negative
 الدال  علي  الخير  كفاعله	Positive
 معايا  زميل  زميل  يلعن  المسخره  كلهم مايستحون  ذولي	Negative
 البنزين  يجي  من  السعوديه  باقل  الاسعار  الحكومه  عندنا تدبل  سعره	Negative
 باذن  الله  بديت  ولو  مءخرا  بنفسي  الحمد  لالله	Positive
 البيت  اللي  فيه فرح  سعاده  دايما  بكون  متفاءل  سعيد  بحاضره مستقبله	Positive
 اللهم  احفظني بحفظك حسبي الله  لا  قوه  الا  بك	Positive
 اللهم  اغفر  له وسع  لك رحمهك له اصلح  له ذريهه	Positive
 الدول  المتقدمه  الان  تتجه  لستخدام  الطاقه  المتجدده  انها اقل  كلفه وليس  لها مخاطر  علي  البيءه  والانسان  ونحن  الان  نعاني  من  ضاءقه  ماليه  كبيره وشحه مياه  شديده وكلنا يعلم  مدي  حاجه المفاعل  لالمياه  اذكركم فقط  بما  حدث  في  اليابان  وهي  الدوله  الاكثر  تطور  في  مجال  التكنولوجيا  وهي  عباره  عن  جزر  وكذلك  كم  اثر  علينا المفاعل  النووي  الاسراءيلي  وحالات  السرطان  المنتشره  ولو  لاحظنا  التشوهات  الخلقيه  الاكثر  في  جنوب  البلاد	Negative
 ربنا  يعيننا علي  نفسنا	Positive
 يا  هيك  الاكل  يا  بلا  لش  الحكي	Positive
 ربنا  يصلح  احوالنا يا  رب  ظاهرا  باطن	Positive
 بعد  عن  التشاءم  وعيش  يومك بالتفاءل  لغد  احلي	Positive
 اللهم  يا  محول  الاحوال  حول  حالي  ان  احسن  حال	Positive
 زنخه زيك	Negative
 اللهم  اجعلنا  من  اللذين  يصلحون  في  الارض  ولا  يفسدون	Positive
 من  اجل  هذا  تم  قدوم  ?  ?  الف  من  الجيش  الامريكي	Negative
 التطبيقات  قليله بالمتجر  ولازال  امام  مايكروسوفت  عمل  طويل  لالتغلب  علي  هذه  المشكله	Negative
 ناس  عزيزه المعزه  لهم غير  فيهم صفات  الصالحين  العليه	Positive
 لجنه زباله من  اذا  بفهمو  بالفن  خاصه ابو  النظارات  اللي  مش  موجود  بالفيديو	Negative
 يا  رب  يكرمنا باولادنا انا  داءما  بشجع  ابني ان  يكون  كالجبل  الذي  لا  تهزه الرياح  العاتيه	Positive
 وش  يحسون  فيه ناس  مهبل	Negative
 يلعن  ابو  الي  ما  بستحي	Negative
 انا  الوحيده  الي  احس  طعم  الببسي  كنه حديد  مصدي	Negative
 شغل  مشغول  قرف  يع	Negative
 كلمه حب  عجبتني جيت  اقءلها  جرحتني	Negative
 الحب  في  الله  شيء  جميل  جدا	Positive
 شعوب  تافهه همها الحياه  الدنيا  فكروا  في  نهايهكم	Negative
 الحلال  بين  و  الحرام  بين  واتقوا  الله	Positive
 بيجيبو  الشيوخ  ليسهز  فيهم	Negative
 تبون  تقنعوانا انكم تخافون  علي  صحه  المدخن  وعلشان  كذا  رفعتوا  السعر  .  .  بيشترونه  ولو  ب  100  دينار  وبيدخنون  ولو  بعظم  وورق  شجر	Negative
 صباح  الخير  لك ياشيخ  لكم كلماتك داءما  تشعرني بالامان  والسكينه  والرضي  بما  كتب  الله	Positive
 زاكي  اكيد  رهف  بكفي  انه من  مشتقات  الحليب	Positive
 فشرت  عينك	Negative
 لدي  الاردن  مءهلات  عظيمه لاستغلال  الطاقه  الشمسيه  وطاقه الرياح  وطاقه باطن  الارض  والوقود  الحيوي  .  وكلها طاقه امنه ونظيفه ومتجدده .	Positive
 انشالله  انو  يطلع  كلام  فاضي  لانو  اذا  ضربت  سوريا  الاردن  رح  اتصير  حرب  عالميه ثالثه  وما  رح  اتخلص  غير  لما  نتخزق	Negative
 ربنا  يثبته	Positive
 ربنا  يكرمك يا  دكتور	Positive
 فضحتونا  من  وين  نحنا  بال  48  عننا برامج  هيك  تافها  ومخمج	Negative
 بنص  المقطع  سقاله  موطبيعيه	Negative
 الله  يثبت  قلبك علي  ديننا الاسلام	Positive
 نحن  في  الاردن  نشاطر  اخواننا في  السعوديه  احزانهم بوفاه  الامير  سعود  الفيصل  وزير  الخارجيه  السعودي  السابق  انا  لالله  وانا  اليه راجعون	Negative
 اللهم  انا  نشكو  اليك ضعف  قوهنا قله حيلهنا حسبنا الله  نعم  الوكيل	Negative
 نت  عايش  خارج  البلد  عموما  ان  كان  نقاشك فرد  عضلات  مافيه  داعي  اكمل  حواري  معك	Negative
 هذه  من  اقوال  الرفيق  المناضل	Positive
